"Кейс","Оригинал на английском","Было плохо","Стало хорошо","Что исправили"
"Hydraulic fracturing / fracking","The company expanded hydraulic fracturing operations.","Компания расширила фракинг.","Компания расширила ГРП.","Англицизм заменяется на отраслевой термин."
"Workover","The workover program improved production.","Ворковер увеличил добычу.","КРС увеличил добычу.","Workover нормализован как капитальный ремонт скважин."
"Well completion","Well completion system accelerated field startup.","Завершение скважины ускорило ввод.","Заканчивание скважины ускорило ввод.","Completion в нефтегазовом контексте не переводится буквально."
"Reservoir","Production from the reservoir increased.","Добыча из резервуара выросла.","Добыча из пласта выросла.","Reservoir в добыче трактуется как пласт."
"Well stimulation","The operator performed well stimulation.","Оператор провёл стимуляцию скважины.","Оператор провёл интенсификацию притока.","Убрана калька 'стимуляция скважины'."
"Offshore","The offshore project expanded.","Проект на оффшоре расширился.","Проект на шельфе расширился.","Оффшор заменяется на нормальный нефтегазовый термин."
"Drilling mud","New drilling mud reduced losses.","Новая буровая грязь снизила потери.","Новый буровой раствор снизил потери.","Исправлены термин и грамматика после замены."
"Artificial lift","Artificial lift improved production.","Искусственный лифт повысил добычу.","Механизированная добыча повысила добычу.","Убран буквальный перевод artificial lift."
"LNG","LNG capacity increased.","Мощности LNG выросли.","Мощности СПГ выросли.","LNG в техническом контексте переводится как СПГ."
"LNG в названии компании","Énestas and Power LNG are developing LNG infrastructure.","Énestas и Power LNG развивают LNG-инфраструктуру.","Énestas и Power LNG развивают СПГ-инфраструктуру.","Названия компаний не ломаются, технические фразы переводятся."
"BHA / ROP","Bottomhole assembly optimization improved ROP.","Оптимизация bottomhole assembly повысила ROP.","Оптимизация КНБК повысила механическую скорость проходки.","Английские аббревиатуры раскрываются в отраслевые русские термины."
"Старые дайджесты","A saved article summary still contained the word fracking.","В базе мог остаться summary с 'фракингом', и он попадал в PDF/Word.","При сборке дайджеста текст дополнительно прогоняется через словарь.","Старые карточки становятся чище без повторного OpenAI-прогона."
